epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.456,2.50882,12.5431,0.9463,0.00043,0.12971,0.00401,0.00174,2.71231,17.0176,0.96371,0.000659864,0.000659864,0.000659864
2,295.77,2.4987,6.55617,0.94453,0.33376,0.15481,0.09717,0.02377,3.19715,9.38077,1.03197,0.0013134,0.0013134,0.0013134
3,441.334,2.48081,3.98091,0.92703,0.26723,0.19532,0.14793,0.04769,2.87356,6.19972,0.98888,0.00195373,0.00195373,0.00195373
4,587.502,2.35874,2.55936,0.92578,0.38038,0.06695,0.04953,0.01282,3.43097,6.80579,1.03222,0.0019406,0.0019406,0.0019406
5,733.046,2.4221,2.00478,0.93201,0.26605,0.20921,0.14476,0.04188,3.03125,3.48704,0.98668,0.0019208,0.0019208,0.0019208
6,878.47,2.32305,1.75125,0.90925,0.52231,0.11715,0.13282,0.04771,3.10491,3.70848,1.02485,0.001901,0.001901,0.001901
7,1026.26,2.26765,1.66087,0.91819,0.6172,0.0795,0.10443,0.02235,3.20036,4.79131,1.00515,0.0018812,0.0018812,0.0018812
8,1168.95,2.29806,1.57515,0.91449,0.54085,0.1528,0.15019,0.04303,2.83006,12.4592,0.97335,0.0018614,0.0018614,0.0018614
