epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,937.985,1.43137,0.72202,0.91256,0.84038,0.42678,0.45818,0.18186,2.18148,2.68943,1.08111,0.0011882,0.0011882,0.0011882
43,960.516,1.38694,0.71572,0.90932,0.88693,0.42665,0.50185,0.21368,2.04035,2.46862,1.06532,0.0011684,0.0011684,0.0011684
44,982.761,1.39205,0.70317,0.90774,0.60669,0.32218,0.40901,0.16585,2.20284,2.81722,1.09846,0.0011486,0.0011486,0.0011486
45,1005.18,1.37828,0.69286,0.90518,0.83196,0.42678,0.5794,0.24218,2.09422,2.10705,1.08036,0.0011288,0.0011288,0.0011288
46,1027.92,1.37534,0.6826,0.91651,0.68937,0.41786,0.47709,0.16389,2.42359,2.28381,1.15539,0.001109,0.001109,0.001109
47,1050.22,1.39469,0.67323,0.91091,0.46416,0.51883,0.41506,0.16654,2.09607,2.59094,1.07031,0.0010892,0.0010892,0.0010892
48,1073.02,1.35626,0.67847,0.90115,0.88454,0.38467,0.49403,0.19108,2.2753,2.41785,1.12332,0.0010694,0.0010694,0.0010694
49,1095.35,1.35537,0.66754,0.90705,0.41288,0.31799,0.24463,0.10886,2.08179,3.4081,1.07768,0.0010496,0.0010496,0.0010496
50,1117.72,1.35086,0.67513,0.8975,0.83873,0.41004,0.53265,0.22187,2.17564,2.33358,1.10146,0.0010298,0.0010298,0.0010298
51,1139.61,1.35642,0.66407,0.90127,0.44634,0.37238,0.33273,0.13096,2.18742,2.90435,1.0956,0.00101,0.00101,0.00101
52,1162.08,1.32768,0.65664,0.90156,0.92289,0.29289,0.35229,0.14857,2.13302,2.94156,1.0926,0.0009902,0.0009902,0.0009902
53,1184.33,1.28743,0.64766,0.8957,0.8823,0.40776,0.54374,0.22367,2.12242,2.28232,1.08837,0.0009704,0.0009704,0.0009704
54,1206.74,1.29757,0.65016,0.88719,0.8121,0.51464,0.58018,0.23259,2.12775,1.86874,1.07419,0.0009506,0.0009506,0.0009506
55,1229.12,1.34802,0.66258,0.89812,0.88941,0.3431,0.43968,0.17858,2.17028,2.55794,1.1013,0.0009308,0.0009308,0.0009308
56,1251.35,1.26432,0.63517,0.88815,0.8065,0.41004,0.46061,0.19055,2.11658,2.56907,1.08476,0.000911,0.000911,0.000911
57,1273.16,1.28331,0.64653,0.89333,0.84678,0.31381,0.44706,0.18749,2.15569,2.8103,1.08031,0.0008912,0.0008912,0.0008912
58,1295.33,1.30144,0.63034,0.88776,0.89511,0.51464,0.58237,0.22476,2.16708,1.99155,1.09448,0.0008714,0.0008714,0.0008714
59,1317.74,1.21822,0.59611,0.88176,0.83092,0.43933,0.54312,0.2195,2.11683,2.22534,1.08637,0.0008516,0.0008516,0.0008516
60,1340.1,1.25603,0.62404,0.8847,0.88602,0.48789,0.60428,0.25832,2.1119,1.94959,1.09478,0.0008318,0.0008318,0.0008318
61,1362.23,1.25236,0.60891,0.87895,0.87681,0.39331,0.55713,0.21424,2.24177,2.27841,1.11861,0.000812,0.000812,0.000812
62,1384.79,1.20412,0.60307,0.86921,0.82615,0.43933,0.55073,0.21883,2.17302,2.34813,1.10174,0.0007922,0.0007922,0.0007922
63,1406.52,1.20392,0.59387,0.87794,0.87559,0.35983,0.46594,0.18821,2.18904,2.51285,1.13908,0.0007724,0.0007724,0.0007724
64,1429.12,1.19795,0.58966,0.86769,0.82476,0.39384,0.52253,0.20318,2.17134,2.47601,1.10022,0.0007526,0.0007526,0.0007526
65,1450.93,1.1824,0.59072,0.8731,0.48371,0.57322,0.52283,0.21289,2.18786,2.34093,1.11066,0.0007328,0.0007328,0.0007328
66,1472.98,1.19763,0.57666,0.86774,0.80327,0.43096,0.53264,0.21839,2.13035,2.21125,1.08193,0.000713,0.000713,0.000713
67,1494.64,1.18123,0.60193,0.86213,0.80653,0.41004,0.50192,0.19477,2.19441,2.39488,1.11983,0.0006932,0.0006932,0.0006932
68,1516.74,1.15696,0.57685,0.86646,0.45967,0.48117,0.49368,0.2131,2.17917,2.55223,1.10332,0.0006734,0.0006734,0.0006734
69,1538.62,1.18407,0.58867,0.86946,0.32615,0.50628,0.41459,0.1757,2.18964,3.20899,1.09801,0.0006536,0.0006536,0.0006536
70,1560.42,1.16128,0.57543,0.86601,0.90138,0.38912,0.53036,0.20363,2.22488,2.25793,1.10452,0.0006338,0.0006338,0.0006338
71,1582.46,1.13891,0.56246,0.85484,0.8657,0.33891,0.48274,0.19137,2.21131,2.83171,1.11388,0.000614,0.000614,0.000614
72,1604.28,1.13276,0.56868,0.8637,0.81872,0.37657,0.42299,0.1711,2.16757,2.74199,1.107,0.0005942,0.0005942,0.0005942
73,1626.05,1.14004,0.56148,0.85521,0.48697,0.56067,0.54283,0.21488,2.19734,2.16894,1.093,0.0005744,0.0005744,0.0005744
74,1648.18,1.09238,0.54832,0.8491,0.51226,0.53138,0.50154,0.19635,2.15818,2.48183,1.09597,0.0005546,0.0005546,0.0005546
75,1670.27,1.1113,0.54557,0.84801,0.85335,0.3431,0.4948,0.20414,2.1548,2.45067,1.08995,0.0005348,0.0005348,0.0005348
76,1692.22,1.09102,0.53918,0.85145,0.39561,0.45188,0.43843,0.18667,2.17337,2.97199,1.08789,0.000515,0.000515,0.000515
77,1714.76,1.0843,0.55462,0.85455,0.91325,0.29707,0.42183,0.18461,2.10983,2.69863,1.10026,0.0004952,0.0004952,0.0004952
78,1737.29,1.09155,0.5544,0.8594,0.92566,0.34728,0.52922,0.22398,2.162,2.42921,1.09391,0.0004754,0.0004754,0.0004754
79,1759.57,1.04662,0.53038,0.85417,0.46578,0.46696,0.47965,0.20344,2.16984,2.75663,1.09266,0.0004556,0.0004556,0.0004556
80,1782,1.07963,0.53893,0.85107,0.90127,0.38075,0.49967,0.1896,2.20912,2.55568,1.10206,0.0004358,0.0004358,0.0004358
81,1804.05,1.06953,0.53047,0.84032,0.45364,0.43079,0.45403,0.18465,2.2308,2.76524,1.10195,0.000416,0.000416,0.000416
82,1826.14,1.03384,0.51665,0.85228,0.88618,0.3431,0.45404,0.17912,2.18521,2.71805,1.10079,0.0003962,0.0003962,0.0003962
83,1847.75,1.02938,0.50741,0.84381,0.78516,0.37238,0.50255,0.20798,2.1985,2.71079,1.10213,0.0003764,0.0003764,0.0003764
84,1870.23,1.01067,0.50952,0.85047,0.89445,0.32636,0.433,0.17091,2.18024,2.73441,1.09244,0.0003566,0.0003566,0.0003566
85,1892.09,1.00137,0.50158,0.84222,0.46028,0.44247,0.42756,0.18244,2.17368,2.90618,1.07895,0.0003368,0.0003368,0.0003368
86,1914.46,1.00979,0.50876,0.8462,0.47407,0.46444,0.45459,0.18079,2.15688,2.7454,1.0884,0.000317,0.000317,0.000317
87,1936.35,1.00012,0.49821,0.83522,0.46259,0.43515,0.39242,0.15734,2.15011,3.00521,1.09212,0.0002972,0.0002972,0.0002972
88,1958.22,1.01878,0.50819,0.8444,0.49084,0.51464,0.50585,0.20234,2.13775,2.61778,1.09103,0.0002774,0.0002774,0.0002774
89,1980.39,0.98759,0.49961,0.83768,0.46429,0.47504,0.45262,0.18221,2.15891,2.7675,1.09105,0.0002576,0.0002576,0.0002576
90,2002.47,0.97383,0.5036,0.84085,0.80803,0.36984,0.52836,0.21027,2.19905,2.4411,1.10842,0.0002378,0.0002378,0.0002378
91,2038.93,0.97004,0.48298,0.85695,0.79366,0.34728,0.44418,0.17828,2.19112,2.54132,1.10314,0.000218,0.000218,0.000218
92,2060.4,0.93023,0.46919,0.84369,0.46084,0.47699,0.4465,0.17015,2.23966,2.83693,1.11512,0.0001982,0.0001982,0.0001982
93,2082.17,0.92129,0.46343,0.84159,0.47313,0.46444,0.41982,0.16487,2.18185,2.86409,1.09659,0.0001784,0.0001784,0.0001784
94,2103.85,0.89895,0.46027,0.84061,0.46969,0.46444,0.42308,0.16618,2.22335,2.92928,1.10722,0.0001586,0.0001586,0.0001586
95,2125.35,0.90019,0.46064,0.85392,0.45418,0.44914,0.4434,0.18082,2.20058,3.01797,1.09213,0.0001388,0.0001388,0.0001388
96,2147.54,0.87533,0.45256,0.83654,0.47318,0.45097,0.46178,0.18649,2.20406,2.7768,1.1017,0.000119,0.000119,0.000119
97,2169.67,0.86599,0.44854,0.8324,0.47355,0.47699,0.4788,0.1951,2.19136,2.78771,1.10056,9.92e-05,9.92e-05,9.92e-05
98,2192.19,0.84779,0.43752,0.83345,0.47585,0.46025,0.48964,0.20136,2.20736,2.8145,1.10212,7.94e-05,7.94e-05,7.94e-05
99,2214.22,0.86258,0.44359,0.83225,0.46375,0.46316,0.47699,0.19552,2.20415,2.80326,1.10812,5.96e-05,5.96e-05,5.96e-05
100,2236.07,0.83466,0.43228,0.83243,0.46177,0.46666,0.46695,0.1903,2.20664,2.76218,1.1062,3.98e-05,3.98e-05,3.98e-05
